pairID,premise,hypothesis,explanation,selected_steps,explanation_category,note,Sentence1_Highlighted,Sentence2_Highlighted,gold_label
2677109430.jpg#1r1n,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,Not all churches have cracks in the ceiling,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},"3,6,4,5",neutral
2677109430.jpg#1r1n,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,There is no indication that there are cracks in the ceiling of the church.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},"3,4,5,6",neutral
2677109430.jpg#1r1n,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,Not all churches have cracks in the ceiling.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},"3,6,4,5",neutral
2677109430.jpg#1r1e,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,"""Filled with song"" is a rephrasing of the ""choir sings to the masses.""","[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"2,3,4,5,6","3,4,5",entailment
2677109430.jpg#1r1e,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,If the church choir sings then the church is filled with song.,"[{'step': 'Step 4: Does the explanation rely on pragmatic cues like implicature or presupposition?', 'type': 'Pragmatic-level Inference'}]",Pragmatic-level Inference,,"3,2,1","1,3,5",entailment
2677109430.jpg#1r1c,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,A choir sing some other songs other than book at church during the base play. they cannot see book and play base ball same time.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"6,14,17","2,5,6",contradiction
2677109430.jpg#1r1c,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,The choir is at a chruch not a baseball game.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,17,"5,6",contradiction
2677109430.jpg#1r1c,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,A baseball game isn__ played at a church.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,"15,16,17","5,6",contradiction
6160193920.jpg#4r1n,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.,the woman could've been old rather than young,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},3,neutral
6160193920.jpg#4r1n,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.,There is no indication that the woman is young.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},3,neutral
6160193920.jpg#4r1n,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.,Not all women are young.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,{},3,neutral
6160193920.jpg#4r1e,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,a grin suggests hapiness.,"[{'step': 'Step 4: Does the explanation rely on pragmatic cues like implicature or presupposition?', 'type': 'Pragmatic-level Inference'}]",Pragmatic-level Inference,,12,4,entailment
6160193920.jpg#4r1e,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,A WOMAN WITH BIG GRIN IS HAPPY,"[{'step': 'Step 4: Does the explanation rely on pragmatic cues like implicature or presupposition?', 'type': 'Pragmatic-level Inference'}]",Pragmatic-level Inference,,"0,1,10,11,12",4,entailment
6160193920.jpg#4r1e,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,One must be happy in order to have a big grin.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"11,12",4,entailment
6160193920.jpg#4r1c,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,There can be either a woman with a very big grin or a woman who has been shot.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"10,11,12,4",4,contradiction
6160193920.jpg#4r1c,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,The woman would not have a big grin if she has been shot.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"12,11,10","4,3",contradiction
6160193920.jpg#4r1c,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,You wouldn't have a big grin if you'd been shot.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"11,12","3,4",contradiction
4791890474.jpg#3r1e,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,"The word "" ad "" is short for the word "" advertisement "".","[{'step': 'Step 2: Does the explanation involve semantic similarity or substitution of key concepts?', 'type': 'Paraphrastic Inference (Semantic)'}]",Semantic-level Inference,,11,7,entailment
4791890474.jpg#3r1e,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,An ad is the short form for advertisement.,"[{'step': 'Step 2: Does the explanation involve semantic similarity or substitution of key concepts?', 'type': 'Paraphrastic Inference (Semantic)'}]",Semantic-level Inference,,11,7,entailment
4791890474.jpg#3r1e,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,A man poses in front of an ad is the same as a man poses in front of advertisement because ad is an abbreviation for advertisement.,"[{'step': 'Step 2: Does the explanation involve semantic similarity or substitution of key concepts?', 'type': 'Paraphrastic Inference (Semantic)'}]",Semantic-level Inference,,"2,6,8,9,11,7","1,2,3,4,5,7",entailment
4791890474.jpg#3r1n,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,Not all advertisements are ad for beer.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,{},9,neutral
4791890474.jpg#3r1n,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,There is no indication that the ad is for beer.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},9,neutral
4791890474.jpg#3r1n,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,Not all advertisements are an ad for beer.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,{},"7,8,9",neutral
4791890474.jpg#3r1c,An old man with a package poses in front of an advertisement.,A man walks by an ad.,The man poses in front of the advertisement therefore he did not walk by it.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"6,8,7,11,2","2,3,5",contradiction
4791890474.jpg#3r1c,An old man with a package poses in front of an advertisement.,A man walks by an ad.,A man cannot be walking by an ad while posing in front of it.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"6,7,8,9,10,11","2,3,4,5",contradiction
4791890474.jpg#3r1c,An old man with a package poses in front of an advertisement.,A man walks by an ad.,poses  is different from walks.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,6,2,contradiction
6526219567.jpg#4r1n,A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,Not all statues are ignored because they are offensive.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,{},3,neutral
6526219567.jpg#4r1n,A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,There is no indication that the statue is offensive or that people are mad.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},"3,7",neutral
6526219567.jpg#4r1n,A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,Just because no one looks at a statue does not mean it is offensive and they are mad that it is on display.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},"3,7,8,9,10,11,12",neutral
6526219567.jpg#4r1e,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,"If no one seems to be looking at a statue, it means not many people interested in.","[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"1,10,7","3,7,11",entailment
6526219567.jpg#4r1e,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,A statue that no one is looking at would imply that not many people are interested in it.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"1,6,7,10,11","3,5,6,11",entailment
6526219567.jpg#4r1e,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,no seems to be looking at  is inferred as not  many people seem to be interested in.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"8,9,10,11,6,7","5,6,7,8,10,9,11,12",entailment
6526219567.jpg#4r1c,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,Either no one is looking at the statue or tons of people are gathered around the statue.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"6,10,11","0,2,4",contradiction
6526219567.jpg#4r1c,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,No seems to be looking at is the opposite of tons of people.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"6,7,8,9,10,11","0,1,2",contradiction
6526219567.jpg#4r1c,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,"If tons of people are gathered around the statue, it is not possible that no one seems to be looking at it.","[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"6,7,8,9,10,11","0,1,2,3,4,5,6,7",contradiction
2832076014.jpg#2r1n,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,A Land Rover being driven across a river implies that water will be splashing as it corsses.,"[{'step': 'Step 4: Does the explanation rely on pragmatic cues like implicature or presupposition?', 'type': 'Pragmatic-level Inference'}]",Pragmatic-level Inference,,"1,2,5,6,8","2,1,4,5",entailment
2832076014.jpg#2r1n,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,Splashing water is the direct result of driving a land rover over a river.,"[{'step': 'Step 4: Does the explanation rely on pragmatic cues like implicature or presupposition?', 'type': 'Pragmatic-level Inference'}]",Pragmatic-level Inference,,"1,2,5,6,8","4,5",entailment
2832076014.jpg#2r1n,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,"If the Land Rover crosses a river, it is being driven across a river.","[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"1,2,5,6,4,8","8,10",entailment
2832076014.jpg#2r1e,A land rover is being driven across a river.,A vehicle is crossing a river.,A land rover is a vehicle.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,"1,2",1,entailment
2832076014.jpg#2r1e,A land rover is being driven across a river.,A vehicle is crossing a river.,Answer; Vehicle is the land rover crossing tells that it goes across a river.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"2,1,6","1,3",entailment
2832076014.jpg#2r1e,A land rover is being driven across a river.,A vehicle is crossing a river.,Crossing a river is a rephrasing of being driven across a river.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,{},{},entailment
2832076014.jpg#2r1e,A land rover is being driven across a river.,A vehicle is crossing a river.,Land rover is vehicle.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Factual Knowledge,,{},{},entailment
2832076014.jpg#2r1c,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,"A land rover and a sedan are different cars, so these sentences cannot be describing the same event.","[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"1,2",1,contradiction
2832076014.jpg#2r1c,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,The vehicle is either a land rover or a sedan.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"1,2",1,contradiction
2832076014.jpg#2r1c,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,"There is no mention of a land rover, only a sedan.","[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,"1,2",1,contradiction
1034985636.jpg#3r1c,A man playing an electric guitar on stage.,A man playing banjo on the floor.,The man can't play on stage if he is on the floor.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,7,6,contradiction
1034985636.jpg#3r1c,A man playing an electric guitar on stage.,A man playing banjo on the floor.,A man can't play both an electric guitar on stage and a banjo on the floor.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"4,5,7","3,6",contradiction
1034985636.jpg#3r1c,A man playing an electric guitar on stage.,A man playing banjo on the floor.,The man cannot be playing an electric guitar on stage and be playing banjo on the floor simultaneously.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"4,5,7","3,6",contradiction
1034985636.jpg#3r1e,A man playing an electric guitar on stage.,A man playing guitar on stage.,An electric guitar is a guitar.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,"4,5",3,entailment
1034985636.jpg#3r1e,A man playing an electric guitar on stage.,A man playing guitar on stage.,An electric guitar is a type of guitar.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,"4,5",3,entailment
1034985636.jpg#3r1e,A man playing an electric guitar on stage.,A man playing guitar on stage.,A electric guitar was played in a stage,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,4,3,entailment
1034985636.jpg#3r1n,A man playing an electric guitar on stage.,A man is performing for cash.,it is unknown if the man is performing for cash.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},5,neutral
1034985636.jpg#3r1n,A man playing an electric guitar on stage.,A man is performing for cash.,There is no indication that the man is performing for cash.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},"3,5",neutral
1034985636.jpg#3r1n,A man playing an electric guitar on stage.,A man is performing for cash.,Just because a man is playing a guitar on stage does not mean he is performing for cash.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},"3,4,5",neutral
3856149623.jpg#1r1e,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A doctor is looking at the new medical manuals.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"11,12,10","0,1,3,2",entailment
3856149623.jpg#1r1e,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A medical manual is a type of book.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,"11,12",6,entailment
3856149623.jpg#1r1e,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A doctor looking is description of blond-haired doctor looking threw or looking at a book (medical manuals).,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"2,9,10,11,12","1,3,6",entailment
3856149623.jpg#1r1c,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,Looking through medical manuals implies that man is not eating pb and j.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"8,9,10,11,12","4,5,6",contradiction
3856149623.jpg#1r1c,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,A doctor and assistant are two people looking through manuals is different than a man is eating a sandwich.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"2,3,7,8,12","1,2,3",contradiction
3856149623.jpg#1r1c,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,There cannot be one man if there is a doctor and an assistant.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"2,7",1,contradiction
3856149623.jpg#1r1n,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,Answer: Just because the is studying it doesn't mean he is reading medical manuals,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},3,neutral
